RecordID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Fach|Signatur|URL
001518547|Plate, Jürgen|Das gesamte examensrelevante Zivilrecht||2011|978-3-642-21007-5|ger|cofz , text , lb09  BSO ,|PD 2700 P716(5)|http://dx.doi.org/10.1007/978-3-642-21007-5
001600524|Polenz, Peter von|Deutsche Sprachgeschichte vom Spätmittelalter bis zur Gegenwart||1994|3-11-013436-5|ger|cofz , text , cofz , text , lb29  BSO ,|GC 5865 P765-2|http://www.degruyter.com/viewbooktoc/product/45332
001600431|Polenz, Peter von|Deutsche Sprachgeschichte vom Spätmittelalter bis zur Gegenwart||1999|3-11-014344-5|ger|cofz , text , cofz , text , lb29  BSO ,|GC 5865 P765-3|http://www.degruyter.com/viewbooktoc/product/48163
001600214|Polenz, Peter von|Geschichte der deutschen Sprache|10., völlig neu bearb. Aufl.|2009|978-3-11-017507-3|ger|cofz , text , lb29  BSO ,|GC 1125 P765|http://www.degruyter.com/viewbooktoc/product/40836
001618791|Puttkamer, Joachim von|Ostmitteleuropa im 19. und 20. Jahrhundert||2010|978-3-486-70206-4|ger|cofz , text , lb34  BSO ,|NB 2000 P993|http://dx.doi.org/10.1524/9783486702064
001406765|Püttjer, Christian|20 perfekte Bewerbungen für Hochschulabsolventen||2008|978-3-593-38674-4|ger|cofz , text , lb01  BSO ,|AL 43950 P977 P438|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/19958
001383835|Püttjer, Christian|Bewerben um ein Praktikum|1. Aufl|2006|3-593-37815-9|ger|cofz , text , lb01  BSO ,|AL 34200 P977|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/6364
001406771|Püttjer, Christian|Das überzeugende Bewerbungsgespräch für Hochschulabsolventen|8., akt. u. überarb. Aufl.|2008|978-3-593-38669-0|ger|cofz , text , lb01  BSO ,|AL 43950 P977 H685|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/20160
001405064|Püttjer, Christian|Die Bewerbungsmappe mit Profil für die erfolgreiche Initiativbewerbung|3., aktualisierte Aufl.|2006|3-593-37939-2|ger|cofz , text , lb01  BSO ,|AL 43950 P977 E67|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/6352
001393678|Püttjer, Christian|Die beste Bewerbungsmappe|3., aktualisierte Aufl.|2008||ger|cofz , text , lb01  BSO ,|AL 43950 P977 B561|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/19935
001390320|Püttjer, Christian|Professionelle Bewerbungsberatung für Hochschulabsolventen|3., aktualisierte. u. überarb. Aufl.|2008||ger|cofz , text , lb01  BSO ,|AL 43950 P977 P964|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/19903
001405090|Püttjer, Christian|Vorstellungsgespräch|2., aktualisierte Aufl.|2006|3-593-37940-6|ger|cofz , text , lb01  BSO , ps ,|AL 43950 P977 V955|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/6363
001385920|Raithel, Jürgen|Quantitative Forschung||2006|978-3-531-90088-9|ger|cofz , text , lb06  BSO ,|MS 2000 R161|http://dx.doi.org/10.1007/978-3-531-90088-9
001550135|Ratz, Dietmar|Grundkurs Programmieren in Java|6., aktualisierte und erw. Aufl.|2011|978-3-446-42663-4|ger|cofz , text , lb12  BSO ,|ST 250 J41 R238(6)|http://ub-mannheim.ciando.com/shop/book/short/index.cfm/fuseaction/short/bok%5Fid/235327
001703609|Ray, Debraj|Development economics||1998|0-691-01706-9|eng|cofz , text , lb08  BSO ,|QC 347 R263|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10578575
001626935|Raykov, Tenko|An introduction to applied multivariate analysis||2008|0-8058-6375-3|eng|cofz , cofz , text , text , lb03  BSO ,|CM 4100 R266|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10211618
001526160|Rehbinder, Manfred|Urheberrecht|16. Aufl.|2010||ger|cofz , text , lb09  BSO ,|PE 743 R345|http://ebibliothek.beck.de/?vpath=bibdata/komm/RehHdbUrhR%5F16/cont/RehHdbUrhR.htm
001526101|Rengier, Rudolf|Strafrecht - Besonderer Teil|12., neu bearb. Aufl.|2010||ger|cofz , text , cofz , text , lb09  BSO ,|PH 3500 R412|http://ebibliothek.beck.de/Default.aspx?vpath=bibdata/komm/RenHdbStrBTI%5F12/cont/RenHdbStrBTI.htm
001628166|Rengier, Rudolf|Strafrecht - Besonderer Teil|14., neu bearb. Aufl.|2013||ger|cofz , text , cofz , text , lb09  BSO ,|PH 3500 R412-2(14)|http://ebibliothek.beck.de/?vpath=bibdata/komm/RenHdbStrBTII%5F14/cont/RenHdbStrBTII.htm
