Aleph-ID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Signatur|Fach
000965150|Brehm, Wolfgang|Sachenrecht|2., überarb. Aufl.|2006|3-16-148915-2|ger|110 PD 6206 B834|09
001360874|Breuer, Ingo|Kleist-Handbuch||2009|978-3-476-02097-0|ger|110 GK 5164 B846|29
001570571|Breyer, Friedrich|Gesundheitsökonomik|6., vollst. erw. und überarb. Aufl.|2013|978-3-642-30893-2|ger|110 QX 700 B848(6)|08
001443043|Brickley, James A.|Managerial economics and organizational architecture|5. ed., international student ed.|2009|978-0-07-128480-6|eng|110 QP 300 B849|08
001614916|Brink, Alfred|Anfertigung wissenschaftlicher Arbeiten|5., aktualisierte und erw. Aufl.|2013|978-3-658-02510-6|ger|110 AK 39540 B858(5)|01
000527971|Brinker-Gabler, Gisela|Deutsche Literatur von Frauen||1988|3-406-32814-8|ger|110 GE 4011 B858-1|29
000601833|Brinker-Gabler, Gisela|Deutsche Literatur von Frauen||1988|3-406-33021-5|ger|110 GE 4011 B858-2|29
000689200|Brohm, Winfried|Öffentliches Baurecht|3. Aufl.|2002|3-406-48414-X|ger|110 PN 564 B866|09
001640930|Brosius, Felix|SPSS 22 für Dummies|1. Aufl.|2014|978-3-527-70980-9|ger|110 MR 2200 B874(2014)|06
001402945|Brown, Gillian D.|Professional English in use||2007|978-0-521-68542-9|eng|110 PC 2500 B877|09
001523119|Brox, Hans|Handelsrecht|21., neu bearb. Aufl.|2011|978-3-406-62496-4|ger|110 PE 345 B885(21)|09
000929004|Bruhn, Manfred|Handbuch Kundenbindungsmanagement|6., überarb. u. erw. Aufl.|2008|978-3-8349-0573-4|ger|110 QP 620 B892 H236|08
001123013|Bruhn, Manfred|Kundenorientierung|Orig.-Ausg., 3., überarb. Aufl.|2007|978-3-423-50808-7|ger|110 QP 620 B892|08
001554128|Bruhn, Manfred|Marketing|11., überarb. Aufl.|2012|978-3-8349-3439-0|ger|110 QP 600 B892(11)|08
000587268|Bruhn, Manfred|Marketingübungen|1. Aufl.|2001|3-409-11640-0|ger|110 QP 600 B892 M345|08
001683528|Brunner, Karl|Arbeitsbuch Geschichte|12., unveränd. Aufl.|2003|3-8252-0411-1|ger|110 NB 1600 B897(12)|34
